date,open,high,low,close,volume
1/12/2023,"37,723.00","38,223.00","37,626.00","38,098.00",0.84K
30/11/2023,"37,834.00","38,136.00","37,490.00","37,723.00",0.73K
29/11/2023,"37,815.00","38,366.00","37,599.00","37,834.00",1.19K
28/11/2023,"37,263.00","38,349.00","36,895.00","37,815.00",1.79K
27/11/2023,"37,443.00","37,547.00","36,735.00","37,263.00",1.74K
26/11/2023,"37,782.00","37,798.00","37,120.00","37,443.00",1.84K
25/11/2023,"37,704.00","37,891.00","37,583.00","37,782.00",1.13K
24/11/2023,"37,280.00","38,410.00","37,248.00","37,704.00",3.64K
23/11/2023,"37,407.00","37,645.00","36,898.00","37,280.00",1.30K
22/11/2023,"35,794.00","37,870.00","35,663.00","37,407.00",2.09K
21/11/2023,"37,451.00","37,638.00","35,791.00","35,794.00",2.68K
20/11/2023,"37,368.00","37,731.00","36,824.00","37,451.00",1.65K
19/11/2023,"36,581.00","37,509.00","36,410.00","37,368.00",0.52K
18/11/2023,"36,631.00","36,849.00","36,234.00","36,581.00",0.34K
17/11/2023,"36,161.00","36,730.00","35,886.00","36,631.00",0.88K
16/11/2023,"37,865.00","37,927.00","35,535.00","36,161.00",0.96K
15/11/2023,"35,542.00","37,949.00","35,374.00","37,865.00",1.99K
14/11/2023,"36,511.00","36,756.00","34,860.00","35,542.00",2.05K
13/11/2023,"37,042.00","37,410.00","36,390.00","36,511.00",1.23K
12/11/2023,"37,141.00","37,215.00","36,760.00","37,042.00",0.45K
11/11/2023,"37,301.00","37,405.00","36,720.00","37,141.00",1.22K
10/11/2023,"36,699.00","37,500.00","36,369.00","37,301.00",0.95K
9/11/2023,"35,641.00","37,973.00","35,562.00","36,699.00",3.97K
8/11/2023,"35,455.00","36,065.00","35,111.00","35,641.00",0.70K
7/11/2023,"35,053.00","35,930.00","34,578.00","35,455.00",0.97K
6/11/2023,"35,064.00","35,323.00","34,798.00","35,053.00",0.37K
5/11/2023,"35,100.00","35,399.00","34,532.00","35,064.00",0.61K
4/11/2023,"34,751.00","35,296.00","34,647.00","35,100.00",0.72K
3/11/2023,"34,944.00","34,954.00","34,154.00","34,751.00",1.51K
2/11/2023,"35,447.00","35,953.00","34,335.00","34,944.00",2.19K
1/11/2023,"34,669.00","35,561.00","34,114.00","35,447.00",1.99K
31/10/2023,"34,490.00","34,730.00","34,111.00","34,669.00",1.39K
30/10/2023,"34,552.00","34,876.00","34,117.00","34,490.00",1.36K
29/10/2023,"34,104.00","34,783.00","33,969.00","34,551.00",1.50K
28/10/2023,"33,942.00","34,494.00","33,906.00","34,104.00",0.75K
27/10/2023,"34,184.00","34,268.00","33,430.00","33,942.00",1.12K
26/10/2023,"34,504.00","34,843.00","33,770.00","34,184.00",1.01K
25/10/2023,"33,943.00","35,147.00","33,756.00","34,504.00",2.24K
24/10/2023,"33,069.00","35,175.00","32,852.00","33,943.00",5.30K
23/10/2023,"30,023.00","33,525.00","29,923.00","33,069.00",6.76K
22/10/2023,"29,922.00","30,225.00","29,704.00","30,023.00",0.50K
21/10/2023,"29,689.00","30,343.00","29,478.00","29,922.00",0.79K
20/10/2023,"28,745.00","30,232.00","28,619.00","29,689.00",3.15K
19/10/2023,"28,332.00","28,904.00","28,155.00","28,745.00",1.56K
18/10/2023,"28,410.00","28,978.00","28,171.00","28,332.00",1.02K
17/10/2023,"28,524.00","28,624.00","28,109.00","28,410.00",0.83K
16/10/2023,"27,168.00","30,067.00","27,129.00","28,524.00",4.31K
15/10/2023,"26,871.00","27,297.00","26,832.00","27,168.00",0.47K
14/10/2023,"26,875.00","26,995.00","26,830.00","26,871.00",0.36K
13/10/2023,"26,795.00","27,140.00","26,700.00","26,875.00",0.85K
12/10/2023,"26,894.00","26,964.00","26,580.00","26,795.00",1.44K
11/10/2023,"27,414.00","27,492.00","26,562.00","26,894.00",1.98K
10/10/2023,"27,617.00","27,752.00","27,325.00","27,414.00",1.27K
9/10/2023,"27,929.00","27,987.00","27,331.00","27,617.00",3.07K
8/10/2023,"27,967.00","28,093.00","27,710.00","27,929.00",0.30K
7/10/2023,"27,942.00","28,026.00","27,840.00","27,967.00",0.45K
6/10/2023,"27,418.00","28,268.00","27,200.00","27,942.00",1.62K
5/10/2023,"27,805.00","28,118.00","27,370.00","27,418.00",1.44K
4/10/2023,"27,431.00","27,845.00","27,249.00","27,805.00",0.89K
3/10/2023,"27,526.00","27,700.00","27,211.00","27,431.00",0.77K
2/10/2023,"28,008.00","28,566.00","27,345.00","27,526.00",2.08K
1/10/2023,"26,980.00","28,100.00","26,973.00","28,008.00",1.83K
30/09/2023,"26,929.00","27,109.00","26,909.00","26,980.00",0.33K
29/09/2023,"27,046.00","27,263.00","26,745.00","26,929.00",1.06K
28/09/2023,"26,391.00","27,300.00","26,368.00","27,046.00",1.07K
27/09/2023,"26,244.00","26,872.00","26,147.00","26,391.00",1.91K
26/09/2023,"26,330.00","26,410.00","26,129.00","26,244.00",0.90K
25/09/2023,"26,299.00","26,465.00","26,045.00","26,330.00",1.17K
24/09/2023,"26,609.00","26,768.00","26,211.00","26,299.00",2.03K
23/09/2023,"26,606.00","26,662.00","26,555.00","26,609.00",0.88K
22/09/2023,"26,594.00","26,749.00","26,532.00","26,606.00",2.04K
21/09/2023,"27,149.00","27,167.00","26,416.00","26,594.00",1.53K
20/09/2023,"27,244.00","27,414.00","26,847.00","27,149.00",1.44K
19/09/2023,"26,788.00","27,506.00","26,700.00","27,244.00",1.60K
18/09/2023,"26,547.00","27,452.00","26,444.00","26,788.00",2.87K
17/09/2023,"26,576.00","26,632.00","26,444.00","26,547.00",0.33K
16/09/2023,"26,625.00","26,792.00","26,477.00","26,576.00",0.32K
15/09/2023,"26,544.00","26,862.00","26,255.00","26,625.00",0.90K
14/09/2023,"26,238.00","26,832.00","26,151.00","26,544.00",2.56K
13/09/2023,"25,851.00","26,430.00","25,797.00","26,238.00",0.87K
12/9/2023,"25,183.00","26,566.00","25,152.00","25,851.00",2.49K
11/9/2023,"25,860.00","25,904.00","24,927.00","25,183.00",1.24K
10/9/2023,"25,910.00","26,009.00","25,638.00","25,860.00",0.50K
9/9/2023,"25,918.00","25,948.00","25,823.00","25,910.00",0.27K
8/9/2023,"26,264.00","26,435.00","25,692.00","25,918.00",0.86K
7/9/2023,"25,783.00","26,444.00","25,645.00","26,264.00",1.21K
6/9/2023,"25,793.00","26,023.00","25,453.00","25,783.00",1.14K
5/9/2023,"25,823.00","25,886.00","25,602.00","25,793.00",1.02K
4/9/2023,"25,980.00","26,092.00","25,666.00","25,823.00",0.72K
3/9/2023,"25,870.00","26,114.00","25,826.00","25,980.00",0.45K
2/9/2023,"25,816.00","25,995.00","25,763.00","25,870.00",1.17K
1/9/2023,"25,967.00","26,164.00","25,354.00","25,816.00",2.05K
31/08/2023,"27,325.00","27,550.00","25,750.00","25,967.00",3.63K
30/08/2023,"27,752.00","27,789.00","27,085.00","27,325.00",1.29K
29/08/2023,"26,147.00","28,097.00","25,954.00","27,752.00",2.68K
28/08/2023,"26,121.00","26,264.00","25,900.00","26,147.00",0.69K
27/08/2023,"26,045.00","26,198.00","25,997.00","26,121.00",0.13K
26/08/2023,"26,079.00","26,142.00","26,019.00","26,045.00",0.21K
25/08/2023,"26,199.00","26,314.00","25,825.00","26,079.00",1.27K
24/08/2023,"26,461.00","26,598.00","25,962.00","26,199.00",0.83K
23/08/2023,"26,057.00","26,834.00","25,840.00","26,461.00",1.19K
22/08/2023,"26,144.00","26,156.00","25,490.00","26,057.00",1.07K
21/08/2023,"26,215.00","26,255.00","25,850.00","26,144.00",0.90K
20/08/2023,"26,115.00","26,305.00","26,018.00","26,215.00",0.60K
19/08/2023,"26,066.00","26,279.00","25,812.00","26,115.00",0.33K
18/08/2023,"26,661.00","26,823.00","25,699.00","26,066.00",2.04K
