date,SSI,VND,HPG,SJS,NKG,MWG,HCM,VGC,VNM,CTD
10/20/2017,10.68000031,3.460000038,9.369999886,25.11000061,15.96000004,29.88999939,40.16999817,16.65999985,80.94000244,142.8600006
10/23/2017,10.38000011,3.450000048,9.279999733,23.59000015,15.82999992,29.42000008,37.77000046,16.65999985,80.66000366,138.7899933
10/24/2017,10.27000046,3.440000057,9.380000114,24.14999962,15.73999977,30.01000023,38.34000015,16.80999947,81.20999908,140.1900024
10/25/2017,10.28999996,3.319999933,9.340000153,24.62999916,15.68999958,30.78000069,39.29999924,16.95000076,82.02999878,140.1900024
10/26/2017,10.19999981,3.230000019,9.25,24.43000031,15.85000038,30.54999924,38.54000092,16.87999916,82.73000336,140.1900024
10/27/2017,10.19999981,3.220000029,9.430000305,24.19000053,16.01000023,30.70999908,38.63000107,16.80999947,83.05999756,142.8600006
10/30/2017,10.05000019,3.230000019,9.199999809,23.68000031,15.77999973,30.43000031,39.02000046,16.80999947,82.79000092,148.8000031
10/31/2017,9.93999958,3.299999952,9.25,23.68000031,15.85000038,30.12999916,38.63000107,16.72999954,82.30000305,145.5299988
11/1/2017,9.760000229,3.289999962,8.930000305,23.47999954,15.82999992,29.75,38.29999924,15.98999977,84.48000336,148.1999969
11/2/2017,9.909999847,3.299999952,8.699999809,23.47999954,15.89999962,28.12999916,37.58000183,15.47999954,84.97000122,150.8699951
11/3/2017,10.02000046,3.359999895,9.050000191,23.90999985,15.89999962,29.42000008,38.63000107,16.21999931,84.58999634,150.1999969
11/6/2017,10.15999985,3.339999914,9.229999542,24.70999908,16.19000053,29.77000046,39.59000015,16.72999954,86.11000061,158.8800049
11/7/2017,10.10999966,3.519999981,9.229999542,25.03000069,16.62999916,29.61000061,40.16999817,16.51000023,NULL,157.3500061
11/8/2017,10.13000011,3.50999999,9.270000458,25.27000046,16.98999977,30.01000023,40.02000046,16.51000023,87.30999756,157.5500031
11/9/2017,10.27000046,3.519999981,9.270000458,25.70999908,16.98999977,30.23999977,40.36000061,16.36000061,88.56999969,153.5399933
11/10/2017,10.23999977,3.619999886,9.319999695,25.11000061,16.98999977,30.21999931,39.88000107,16.36000061,94.72000122,154.2100067
11/13/2017,10.56999969,3.670000076,9.170000076,24.70999908,17.12999916,30.01000023,41.52000046,16.44000053,100.5599976,156.8800049
11/14/2017,10.68000031,3.680000067,9.350000381,25.03000069,17.18000031,31.53000069,41.61000061,16.95000076,98.09999847,159.5500031
11/15/2017,10.65999985,3.789999962,9.68999958,25.19000053,18.06999969,31.29999924,41.61000061,16.72999954,99.08000183,158.6799927
11/16/2017,10.81999969,3.799999952,9.670000076,25.19000053,18.06999969,31.53000069,43.91999817,17.03000069,99.84999847,156.2100067
11/17/2017,10.77000046,3.75,9.550000191,24.79000092,17.82999992,31.42000008,43.43999863,16.95000076,99.84999847,154.2100067
11/20/2017,10.81999969,3.779999971,9.350000381,24.87000084,17.34000015,NULL,43.63000107,17.10000038,101.9199982,151.9400024
11/21/2017,11.03999996,3.890000105,9.390000343,25.35000038,17.34000015,NULL,43.81999969,16.80999947,103.0100021,154.0099945
11/22/2017,11.18999958,3.880000114,9.579999924,25.11000061,17.67000008,32.24000168,45.93999863,16.87999916,100.7699966,155.4799957
11/23/2017,11.21000004,3.869999886,9.550000191,24.87000084,17.40999985,32.06999969,46.90000153,18.5,100.7699966,156.2100067
11/24/2017,11.21000004,NULL,9.779999733,26.22999954,17.67000008,32.02999878,47.38000107,18.94000053,100.8300018,156.4100037
11/27/2017,11.43000031,4.050000191,9.819999695,26.38999939,18.12000084,31.18000031,48.34000015,19.23999977,100.8300018,154.5399933
11/28/2017,11.43000031,4.170000076,9.850000381,25.90999985,18.04999924,31.09000015,47.27999878,19.09000015,100.8300018,152.8099976
11/29/2017,11.69999981,NULL,9.829999924,26.70000076,18.02000046,31.53000069,48.72000122,19.89999962,100.8300018,154.2100067
11/30/2017,11.82999992,3.980000019,10.30000019,27.29999924,18.09000015,31.64999962,49.68000031,20.27000046,101.75,151.7400055
12/1/2017,12.10999966,3.880000114,10.38000011,26.62999916,18.13999939,31.86000061,49.77999878,19.89999962,106.8199997,151.8099976
12/4/2017,12.78999996,3.869999886,10.5,27.26000023,18.44000053,31.93000031,50.54999924,19.75,110.6399994,150.8699951
12/5/2017,12.39999962,3.680000067,10.39999962,27.42000008,18.06999969,31.11000061,50.74000168,18.43000031,108.4599991,150.1999969
12/6/2017,12.28999996,3.640000105,10.56999969,27.73999977,18.06999969,30.40999985,53.52999878,18.5,106.2799988,148.5299988
12/7/2017,11.90999985,3.630000114,10.48999977,27.34000015,17.93000031,30.17000008,51.50999832,19.15999985,101.3700027,144.8000031
