,date,open,high,low,close,volume
1545,2017-03-28,724.37,725,718.66,719.26,221.92K
1598,2017-03-29,719.08,721.92,718.37,720.47,193.99K
1650,2017-03-30,721.87,725.91,721.87,723.86,195.79K
1699,2017-03-31,725.97,726.67,722.31,722.31,213.14K
15,2017-04-03,723.02,724.37,721.58,722.38,183.07K
22,2017-04-04,723.7,724.67,722.79,724.14,214.30K
29,2017-04-05,724.89,726.03,722.49,723.22,217.98K
47,2017-04-07,721.85,727.95,720.28,727.95,229.96K
73,2017-04-10,728.71,730.9,727.77,729.87,152.42K
80,2017-04-11,730.15,732.24,730.15,731.33,210.27K
88,2017-04-12,731.62,732.87,724.48,725.58,249.51K
681,2017-04-13,725.54,727.34,723.88,724.35,190.43K
741,2017-04-14,722.47,722.96,714.13,718.45,195.28K
915,2017-04-17,718.93,721.78,710.83,710.83,170.26K
973,2017-04-18,708.64,714.93,705.55,714.93,178.13K
1029,2017-04-19,714.87,716.77,714.02,716.77,151.57K
1087,2017-04-20,716.76,716.76,712.66,712.66,137.64K
1148,2017-04-21,712.77,715.08,711.08,712.41,202.27K
1321,2017-04-24,711.6,712.77,709.39,709.39,154.88K
1378,2017-04-25,709,709.81,706.04,707.58,137.23K
1432,2017-04-26,706.36,710.04,706.32,710.04,142.34K
1490,2017-04-27,711.74,716.53,711.38,716.53,187.19K
1550,2017-04-28,715.9,718.54,713.83,717.73,190.64K
16,2017-05-03,718.7,719.54,716.66,719.54,229.58K
23,2017-05-04,717.98,723.22,717.98,722.02,215.83K
30,2017-05-05,720.39,721.65,719.86,720,194.38K
56,2017-05-08,720.61,720.61,717.98,718.86,232.46K
65,2017-05-09,718.86,722.11,716.95,722.11,224.90K
74,2017-05-10,721.94,727.52,721.81,724.31,228.17K
81,2017-05-11,724.84,726.82,723.39,724.99,223.04K
89,2017-05-12,724.63,726.4,724.41,725.37,188.85K
803,2017-05-15,725.25,726.19,723.18,725.35,240.89K
860,2017-05-16,725.84,727.86,725.03,725.03,294.21K
920,2017-05-17,724.01,728.01,722.81,727.2,206.67K
978,2017-05-18,727.2,729,723.8,726.99,219.68K
1035,2017-05-19,727.61,733.82,726.79,733.82,211.59K
1212,2017-05-22,738.63,746.87,738.63,744.1,272.76K
1269,2017-05-23,744.32,746.18,740.28,740.93,266.86K
1326,2017-05-24,739.91,744.27,737.3,742.74,225.26K
1382,2017-05-25,744.24,746.48,740.89,741.91,205.89K
1438,2017-05-26,741.4,743.46,740.6,743.41,193.18K
1607,2017-05-29,746.08,748.06,745.31,746.25,252.31K
1656,2017-05-30,747.07,747.43,738.21,738.21,261.22K
1704,2017-05-31,738.91,741.93,735.39,737.82,214.22K
1,2017-06-01,739.45,742.23,738.71,741.8,152.24K
8,2017-06-02,741.48,742.11,736.09,738.81,184.55K
31,2017-06-05,739.13,745.14,738.35,743.49,218.61K
39,2017-06-06,743.99,751.31,743.99,751.31,185.36K
48,2017-06-07,752.75,754.92,751.65,753.46,211.21K
57,2017-06-08,751.7,751.96,748.91,750.13,262.70K
66,2017-06-09,749.46,752.01,749.04,749.72,178.52K
90,2017-06-12,751.33,753.41,749,751.09,184.32K
691,2017-06-13,751.09,756.89,750.1,756.89,204.17K
750,2017-06-14,758.26,761.7,756.82,760.77,206.34K
808,2017-06-15,760.38,762.98,758.17,760.57,193.28K
865,2017-06-16,761.75,762.43,759.98,761.24,221.69K
1040,2017-06-19,763.75,766.83,762.33,766.83,199.98K
1097,2017-06-20,767.59,768.29,764.42,767.99,229.11K
1156,2017-06-21,765.71,767.83,758.9,767.41,248.54K
1217,2017-06-22,768.41,769.99,766.3,766.3,224.84K
1274,2017-06-23,765.66,769.01,763.64,769.01,254.93K
1443,2017-06-26,770.5,773.14,769.73,772.52,235.11K
1500,2017-06-27,773.15,773.4,767.19,767.51,235.65K
1559,2017-06-28,766.82,769.04,762.78,769.04,203.56K
1612,2017-06-29,771.26,773.08,769.89,771.75,211.88K
1661,2017-06-30,773.46,776.5,773.46,776.47,194.38K
17,2017-07-03,777.2,780.01,775.53,778.88,195.52K
24,2017-07-04,779.15,779.15,772.9,775.54,232.64K
32,2017-07-05,775.85,778.32,773.81,778.32,216.49K
40,2017-07-06,780.5,782.77,779.99,782.65,238.45K
49,2017-07-07,783.73,783.81,775.73,775.73,261.56K
75,2017-07-10,775.85,775.85,764.43,766.56,217.18K
82,2017-07-11,766.56,769.36,761.57,769.36,225.54K
91,2017-07-12,772.6,775.08,769.83,774.17,176.53K
696,2017-07-13,777.12,778.3,773.85,778.3,200.64K
756,2017-07-14,779.72,780.65,776.88,777.6,209.25K
930,2017-07-17,777.7,778.3,766.47,768.91,254.75K
988,2017-07-18,766.88,770.37,762.68,767.49,237.79K
1045,2017-07-19,771.33,774.12,770.18,771.3,236.85K
1102,2017-07-20,768.56,768.56,763.55,768.41,183.49K
1162,2017-07-21,768.9,770.43,761.86,761.86,179.98K
1336,2017-07-24,759.97,761.64,753.82,759.74,158.87K
1392,2017-07-25,757.43,767.27,757.35,767.27,180.74K
1448,2017-07-26,769.35,773.88,764.92,773.88,208.32K
1505,2017-07-27,773.21,774.97,770.3,771.5,202.37K
1565,2017-07-28,771.21,777.09,770.82,777.09,199.88K
1710,2017-07-31,777.54,783.58,776.72,783.55,267.11K
2,2017-08-01,784.44,787.68,784.15,786.81,206.36K
9,2017-08-02,783.45,788.97,779.81,786.23,218.99K
18,2017-08-03,786.23,790.82,786.19,788.49,208.92K
25,2017-08-04,789.46,790.12,786.09,788.68,202.95K
50,2017-08-07,789.41,796.09,788.66,792.98,222.64K
58,2017-08-08,795.8,796.62,789.84,791.57,228.90K
67,2017-08-09,789.15,789.15,773.66,773.66,307.86K
76,2017-08-10,769.58,776.77,769.58,773.43,190.13K
83,2017-08-11,773.43,774.31,769.14,772.08,169.87K
761,2017-08-14,770.65,776.42,770.65,776.17,185.52K
818,2017-08-15,776.64,776.83,770.09,771.06,152.54K
874,2017-08-16,771.1,773.57,766.8,773.57,169.79K
935,2017-08-17,773.48,774.47,767.59,767.59,238.33K
993,2017-08-18,762.82,770.79,762.46,768.97,196.32K
1167,2017-08-21,767.42,769.71,765.95,768.79,169.70K
1227,2017-08-22,768.2,768.44,760.3,761.26,154.11K
1283,2017-08-23,762.42,765.98,759.01,765.98,158.56K
1341,2017-08-24,766.48,771.65,764.64,769.77,219.61K
1397,2017-08-25,769.07,771.63,768.57,771.63,225.18K
1570,2017-08-28,771.81,777.26,770.51,777.26,258.57K
1622,2017-08-29,773.91,777.11,773.87,774.03,264.85K
1670,2017-08-30,774.31,778.65,773.85,778.65,203.15K
1715,2017-08-31,779.19,785.78,778.19,782.76,211.65K
3,2017-09-01,784.42,789.19,784.18,788.73,146.63K
33,2017-09-05,790.26,794.46,787.8,792.31,165.41K
41,2017-09-06,792.16,793.82,788.89,793.55,155.71K
51,2017-09-07,793.61,798.58,792.77,796.72,154.51K
59,2017-09-08,797.98,802.9,797.82,801.2,132.50K
84,2017-09-11,801.2,805.44,797.47,797.47,155.94K
92,2017-09-12,795.53,801.01,794.88,799.94,153.20K
706,2017-09-13,802.85,804.38,800.39,802.78,150.28K
766,2017-09-14,803.34,807.29,803.23,806.32,162.90K
823,2017-09-15,803.35,805.82,802.08,805.82,163.95K
998,2017-09-18,808.51,809.39,805.37,807.87,173.96K
1055,2017-09-19,807.41,810.13,805.87,805.93,172.85K
1112,2017-09-20,806.88,807.51,803.33,805.86,150.76K
1172,2017-09-21,805.29,806.52,802.6,803.93,138.75K
1232,2017-09-22,805.15,808.16,803.94,807.13,176.70K
1402,2017-09-25,806.9,807.64,802.23,805.58,149.15K
1458,2017-09-26,806.4,806.84,801.66,805.35,171.21K
1515,2017-09-27,803.32,805.04,801.74,803.77,157.40K
1575,2017-09-28,803.1,810.35,803.1,804.82,192.67K
1627,2017-09-29,805.07,808.77,804.42,804.42,139.48K
10,2017-10-02,805.29,808.09,801.7,802.23,119.50K
19,2017-10-03,803.98,804.39,795.05,798,162.27K
26,2017-10-04,797.39,805.66,797,805.66,118.42K
34,2017-10-05,806.56,810.54,805.22,805.23,148.46K
42,2017-10-06,805.7,808.13,803.81,807.8,132.95K
68,2017-10-09,809.61,810.75,806.78,808.96,167.58K
77,2017-10-10,808.43,810.65,806.3,810.65,144.21K
85,2017-10-11,811.2,815.11,811.2,813.95,180.70K
93,2017-10-12,814.43,818.44,813.72,815.87,149.20K
712,2017-10-13,814.6,820.95,814.2,820.95,154.13K
884,2017-10-16,821.54,823.85,819.43,819.43,168.99K
945,2017-10-17,819.51,828.29,819.43,828.29,177.22K
1003,2017-10-18,829.43,831.15,826.72,827.72,198.94K
1060,2017-10-19,828.89,831.61,825.5,828.93,169.35K
1118,2017-10-20,827.93,833.57,826.84,826.84,196.37K
1293,2017-10-23,826.25,827.24,818.81,820.04,210.65K
1351,2017-10-24,818.08,825.24,814.92,825.24,180.44K
1407,2017-10-25,826.08,830.69,822.83,830.69,160.17K
1463,2017-10-26,829.94,834.67,823.92,830.11,187.41K
1521,2017-10-27,829.15,840.37,828.45,840.37,143.37K
1680,2017-10-30,842.92,849.3,842.92,845.2,197.30K
1721,2017-10-31,844.27,845.93,837.28,837.28,192.06K
4,2017-11-01,838.75,842.88,838.01,842.71,172.22K
11,2017-11-02,842.19,849.53,833.09,833.09,192.77K
20,2017-11-03,833.16,843.73,831.58,843.73,203.25K
43,2017-11-06,846.12,849.09,843.76,849.09,172.30K
52,2017-11-07,850.2,854.6,847.88,850.33,584.72K
60,2017-11-08,853.15,863.07,852.32,859.7,171.68K
69,2017-11-09,862.38,864.2,858.16,860.4,164.44K
78,2017-11-10,859.91,869.37,859.24,868.21,189.39K
717,2017-11-13,871.7,879.34,871.7,879.34,283.76K
776,2017-11-14,881.15,884.14,874.74,880.9,221.73K
832,2017-11-15,877.65,884.83,876.6,882.59,200.08K
889,2017-11-16,880.17,892.8,880.17,892.8,206.50K
950,2017-11-17,893.99,898.11,886.86,890.69,188.54K
1123,2017-11-20,890.34,903.55,889.55,903.55,175.97K
1182,2017-11-21,907.51,929.89,907.51,918.3,230.29K
1241,2017-11-22,921.13,932.66,921.13,932.66,210.14K
1298,2017-11-23,938.31,943.15,927,933.7,223.22K
1356,2017-11-24,930.52,937.54,924.65,935.57,225.73K
1526,2017-11-27,933.38,947.06,931.29,938.61,252.36K
1585,2017-11-28,939.1,943.45,933.59,941.21,359.52K
1636,2017-11-29,943.46,952.14,940.4,952.14,229.83K
1685,2017-11-30,956.17,960.11,949.93,949.93,249.61K
5,2017-12-01,952.76,960.33,952.76,960.33,227.73K
27,2017-12-04,962.47,972.53,962.47,970.02,270.00K
35,2017-12-05,972.28,974.8,953.3,953.3,265.51K
44,2017-12-06,950.21,950.72,932.64,947.64,243.46K
53,2017-12-07,950.23,954.24,932.68,938.65,196.89K
61,2017-12-08,938.41,944.75,930.29,940.16,197.62K
86,2017-12-11,930.17,936.93,917.45,917.45,193.98K
94,2017-12-12,927.67,931.12,895.73,927.25,243.25K
722,2017-12-13,932.05,932.48,922.97,924.4,157.40K
781,2017-12-14,925.51,936.29,923.99,935.85,172.03K
838,2017-12-15,933.63,939.57,932.96,935.16,239.90K
1013,2017-12-18,945.9,958.06,945.9,958.06,241.41K
1070,2017-12-19,961.03,963.01,951.25,951.42,228.76K
1128,2017-12-20,945.12,958.82,945.12,953.51,220.57K
1187,2017-12-21,949.45,957.56,946.06,946.06,213.62K
1247,2017-12-22,947.54,952.7,945.18,952.32,197.58K
1417,2017-12-25,954.28,958.57,952.41,958.31,168.44K
1473,2017-12-26,960.32,965.93,957.24,965.93,186.04K
1531,2017-12-27,969.72,972.6,965.18,968.46,235.83K
1590,2017-12-28,970.63,978.65,967.73,976.72,160.23K
1642,2017-12-29,978.39,990.1,976.33,984.24,211.11K
101,2018-01-02,986.05,996.18,984.34,995.77,186.02K
110,2018-01-03,999.86,"1,010.21",998.41,"1,005.67",237.30K
117,2018-01-04,"1,009.37","1,019.75","1,009.00","1,019.75",252.91K
125,2018-01-05,"1,020.34","1,020.60","1,010.65","1,012.65",284.03K
152,2018-01-08,"1,011.36","1,022.90","1,004.89","1,022.90",268.79K
160,2018-01-09,"1,027.14","1,033.56","1,017.86","1,033.56",320.38K
169,2018-01-10,"1,034.64","1,045.63","1,033.01","1,038.11",375.09K
177,2018-01-11,"1,037.03","1,049.73","1,031.13","1,048.17",314.65K
185,2018-01-12,"1,050.17","1,057.88","1,046.38","1,050.11",351.97K
786,2018-01-15,"1,049.91","1,063.47","1,043.15","1,063.47",292.71K
843,2018-01-16,"1,059.36","1,065.39","1,052.43","1,062.96",340.19K
900,2018-01-17,"1,061.98","1,064.77","1,034.69","1,034.69",332.61K
960,2018-01-18,"1,028.76","1,050.25","1,020.01","1,050.25",281.60K
1018,2018-01-19,"1,054.33","1,067.21","1,053.37","1,062.07",342.47K
1192,2018-01-22,"1,066.86","1,088.05","1,066.61","1,087.42",266.11K
1252,2018-01-23,"1,066.86","1,088.05","1,066.61","1,087.42",266.11K
1366,2018-01-25,"1,098.44","1,117.08","1,098.44","1,104.57",510.92K
1421,2018-01-26,"1,119.78","1,123.83","1,103.06","1,115.64",292.97K
1595,2018-01-29,"1,121.78","1,130.10","1,109.80","1,109.80",276.73K
1646,2018-01-30,"1,099.98","1,110.56","1,092.44","1,110.56",335.41K
1695,2018-01-31,"1,112.23","1,128.10","1,104.98","1,110.36",351.21K
95,2018-02-01,"1,111.74","1,111.74","1,090.25","1,099.67",269.17K
102,2018-02-02,"1,098.66","1,105.04","1,091.06","1,105.04",200.31K
126,2018-02-05,"1,089.62","1,090.88","1,048.71","1,048.71",282.04K
135,2018-02-06,"1,026.08","1,026.08",983.06,"1,011.60",480.71K
144,2018-02-07,"1,040.53","1,048.54","1,034.13","1,040.55",241.18K
153,2018-02-08,"1,031.46","1,039.61","1,023.25","1,023.25",181.50K
161,2018-02-09,991.09,"1,003.94",973.78,"1,003.94",243.23K
186,2018-02-12,"1,011.64","1,041.79","1,011.64","1,041.79",171.10K
672,2018-02-13,"1,053.31","1,060.48","1,052.86","1,059.73",174.29K
1138,2018-02-21,"1,073.33","1,092.65","1,070.43","1,087.15",177.57K
1197,2018-02-22,"1,087.15","1,091.62","1,074.27","1,076.03",200.37K
1255,2018-02-23,"1,086.81","1,102.85","1,081.31","1,102.85",189.08K
1424,2018-02-26,"1,115.90","1,127.57","1,114.06","1,114.53",234.11K
1481,2018-02-27,"1,124.03","1,124.03","1,106.77","1,119.61",196.67K
1540,2018-02-28,"1,110.30","1,129.89","1,109.89","1,121.54",232.59K
96,2018-03-01,"1,121.54","1,129.30","1,110.92","1,115.79",227.40K
103,2018-03-02,"1,103.16","1,121.91","1,103.16","1,121.21",210.07K
127,2018-03-05,"1,121.21","1,132.69","1,093.48","1,093.48",277.68K
136,2018-03-06,"1,093.48","1,120.29","1,091.67","1,120.29",236.33K
145,2018-03-07,"1,121.99","1,126.67","1,103.29","1,112.26",279.08K
154,2018-03-08,"1,112.24","1,126.35","1,111.76","1,124.15",200.92K
162,2018-03-09,"1,128.73","1,135.02","1,119.18","1,123.41",217.76K
187,2018-03-12,"1,135.37","1,135.48","1,123.98","1,126.29",244.68K
677,2018-03-13,"1,126.53","1,133.31","1,118.49","1,133.31",233.20K
737,2018-03-14,"1,135.99","1,142.88","1,134.55","1,138.09",250.55K
795,2018-03-15,"1,134.51","1,140.74","1,129.66","1,138.76",232.40K
851,2018-03-16,"1,144.54","1,152.52","1,140.56","1,150.19",308.62K
1025,2018-03-19,"1,158.16","1,165.63","1,155.82","1,159.22",272.05K
1083,2018-03-20,"1,154.48","1,166.33","1,154.48","1,159.39",214.04K
1144,2018-03-21,"1,166.51","1,172.31","1,163.91","1,169.36",237.68K
1203,2018-03-22,"1,175.22","1,180.44","1,169.48","1,172.36",233.32K
1260,2018-03-23,"1,154.25","1,157.20","1,138.53","1,153.59",261.96K
1428,2018-03-26,"1,150.51","1,176.95","1,150.51","1,171.22",211.70K
1486,2018-03-27,"1,187.42","1,187.42","1,169.58","1,171.73",237.76K
1546,2018-03-28,"1,168.87","1,179.18","1,165.71","1,172.24",208.55K
1599,2018-03-29,"1,174.73","1,176.45","1,164.12","1,167.03",185.25K
1651,2018-03-30,"1,169.29","1,175.36","1,158.49","1,174.46",204.90K
104,2018-04-02,"1,180.26","1,196.61","1,179.73","1,196.61",245.76K
111,2018-04-03,"1,197.00","1,199.93","1,185.83","1,188.29",255.24K
118,2018-04-04,"1,194.26","1,200.71","1,189.46","1,191.54",238.69K
128,2018-04-05,"1,197.76","1,199.15","1,186.75","1,193.17",241.19K
137,2018-04-06,"1,194.15","1,202.59","1,194.15","1,199.96",252.06K
163,2018-04-09,"1,202.44","1,207.45","1,197.44","1,204.33",251.45K
170,2018-04-10,"1,207.62","1,211.34","1,192.22","1,198.12",286.73K
178,2018-04-11,"1,201.51","1,202.46","1,167.11","1,167.11",286.08K
188,2018-04-12,"1,162.48","1,173.02","1,153.64","1,173.02",179.99K
682,2018-04-13,"1,178.57","1,181.52","1,153.93","1,157.14",196.13K
856,2018-04-16,"1,156.54","1,159.45","1,141.81","1,148.49",196.99K
916,2018-04-17,"1,149.02","1,156.70","1,139.33","1,153.28",175.76K
974,2018-04-18,"1,153.28","1,160.32","1,138.42","1,138.53",172.11K
1030,2018-04-19,"1,137.99","1,137.99","1,094.63","1,094.63",204.01K
1088,2018-04-20,"1,095.84","1,119.86","1,078.01","1,119.86",214.65K
1265,2018-04-23,"1,124.33","1,127.24","1,076.78","1,076.78",217.97K
1322,2018-04-24,"1,064.86","1,084.89","1,048.68","1,080.74",186.61K
1433,2018-04-26,"1,082.52","1,082.52","1,039.35","1,044.86",208.48K
1491,2018-04-27,"1,037.36","1,054.94","1,031.89","1,050.26",191.60K
105,2018-05-02,"1,053.26","1,053.52","1,024.75","1,029.08",183.26K
112,2018-05-03,"1,018.47","1,027.38","1,003.79","1,026.46",203.56K
119,2018-05-04,"1,032.12","1,037.02","1,022.10","1,026.80",163.07K
146,2018-05-07,"1,034.64","1,062.26","1,028.79","1,062.26",155.13K
155,2018-05-08,"1,061.12","1,072.28","1,057.24","1,060.45",170.06K
164,2018-05-09,"1,058.33","1,069.80","1,051.79","1,056.97",161.33K
171,2018-05-10,"1,058.22","1,059.34","1,025.75","1,028.87",204.94K
179,2018-05-11,"1,026.34","1,044.85","1,014.30","1,044.85",134.82K
746,2018-05-14,"1,051.69","1,066.98","1,042.31","1,066.98",137.94K
804,2018-05-15,"1,072.25","1,084.20","1,071.02","1,073.50",158.35K
861,2018-05-16,"1,073.50","1,073.50","1,052.18","1,054.62",150.05K
921,2018-05-17,"1,055.21","1,057.84","1,030.64","1,030.64",129.62K
979,2018-05-18,"1,033.33","1,040.84","1,013.57","1,040.54",408.22K
1152,2018-05-21,"1,043.82","1,043.82","1,014.98","1,014.98",123.09K
1213,2018-05-22,"1,006.18","1,015.97",976.73,985.91,180.49K
1270,2018-05-23,974.8,995.25,965.92,988.94,182.16K
1327,2018-05-24,992.24,995.82,974.14,985.92,129.29K
1383,2018-05-25,981.47,987.56,963.9,963.9,150.25K
1555,2018-05-28,938.86,951.34,927.47,931.75,219.29K
1608,2018-05-29,925.89,958.96,916,952.18,183.99K
1657,2018-05-30,953.41,953.41,932.26,948.5,146.25K
1705,2018-05-31,947.96,975.51,945.29,971.25,182.04K
97,2018-06-01,973.67,995.06,973.56,992.87,204.09K
120,2018-06-04,994.48,"1,013.78",992.01,"1,013.78",166.09K
129,2018-06-05,"1,013.59","1,025.26","1,011.59","1,022.74",212.46K
138,2018-06-06,"1,020.97","1,034.50","1,012.98","1,034.50",162.08K
147,2018-06-07,"1,038.93","1,043.71","1,030.79","1,036.69",173.15K
156,2018-06-08,"1,032.59","1,039.07","1,026.94","1,039.01",148.15K
180,2018-06-11,"1,033.55","1,045.60","1,029.19","1,039.02",185.55K
189,2018-06-12,"1,033.55","1,033.55","1,005.10","1,020.76",212.48K
692,2018-06-13,"1,017.93","1,030.53","1,017.93","1,030.53",116.06K
751,2018-06-14,"1,030.53","1,033.46","1,015.72","1,015.72",166.57K
809,2018-06-15,"1,012.71","1,018.95","1,006.75","1,016.51",165.43K
984,2018-06-18,"1,016.51","1,018.98",986.88,987.34,181.39K
1041,2018-06-19,972.38,972.62,941.57,962.16,250.99K
1098,2018-06-20,957.37,980.95,955.61,980.95,154.07K
1157,2018-06-21,979.57,979.57,966.28,969.4,117.05K
1218,2018-06-22,963.89,983.57,959.91,983.17,132.36K
1388,2018-06-25,997.34,997.34,988.98,990.52,142.09K
1444,2018-06-26,977.78,983.78,970.75,983.02,165.38K
1501,2018-06-27,981.44,984.46,968.91,968.91,179.45K
1560,2018-06-28,964.76,976.12,954.46,957.35,159.07K
1613,2018-06-29,955.64,962.93,950.48,960.78,146.41K
106,2018-07-02,955.18,956.78,932.66,947.15,168.21K
113,2018-07-03,945.87,946.16,906.01,906.01,180.70K
121,2018-07-04,904.34,914.99,890.83,914.99,128.08K
130,2018-07-05,914.48,921.85,892.67,899.4,143.00K
139,2018-07-06,891.16,921.75,884.99,917.51,159.16K
165,2018-07-09,922.72,929.5,915.12,915.12,119.91K
172,2018-07-10,919.44,921.96,911.12,911.12,118.44K
181,2018-07-11,898.08,900.16,885.09,893.16,158.65K
190,2018-07-12,891.21,905.72,884.75,898.51,113.78K
697,2018-07-13,904.8,912.53,899.94,909.72,140.42K
870,2018-07-16,914.22,917.63,905.27,911.11,136.24K
931,2018-07-17,905.32,921.27,902.02,921.27,155.86K
989,2018-07-18,926.14,942.39,926.14,942.39,223.94K
1046,2018-07-19,942.39,947.07,939.58,943.97,199.21K
1103,2018-07-20,938.83,941.94,930.26,933.39,204.00K
1279,2018-07-23,931.52,949.14,930.25,936.74,208.56K
1337,2018-07-24,933.22,939.07,926.3,934.08,203.90K
1393,2018-07-25,936.57,938.33,927.58,927.58,232.72K
1449,2018-07-26,928.96,930.32,920.99,930.16,195.48K
1506,2018-07-27,931.9,937.23,928.82,935.52,179.26K
1666,2018-07-30,940.76,949.73,937.69,949.73,193.34K
1711,2018-07-31,948.56,959.07,947.32,956.39,242.40K
98,2018-08-01,957.35,960.05,949.89,952.77,202.12K
107,2018-08-02,952.75,953.55,942.39,953.55,212.46K
114,2018-08-03,957.92,966.1,955.13,959.6,197.53K
140,2018-08-06,960.12,962.99,955.42,960.23,229.66K
148,2018-08-07,957.7,962.02,953.71,956.79,162.14K
157,2018-08-08,958.31,966.27,958.31,966.27,155.17K
166,2018-08-09,968.57,972.52,963.5,963.5,167.64K
173,2018-08-10,962.03,968.47,955.04,968.47,185.25K
702,2018-08-13,966.46,978.04,963.41,978.04,213.22K
762,2018-08-14,979.66,981.42,974.47,978.27,177.30K
819,2018-08-15,980.45,982,961.37,961.37,188.94K
875,2018-08-16,952.83,964.28,947.09,964.28,174.03K
936,2018-08-17,971.4,975.52,968.88,968.88,151.07K
1108,2018-08-20,970.81,973.57,966.46,969.62,180.83K
1168,2018-08-21,968.46,979.21,968.45,979.21,200.58K
1228,2018-08-22,979.21,986.36,979.21,982.15,204.11K
1284,2018-08-23,984.12,989.45,982.48,987.36,146.85K
1342,2018-08-24,985.49,989.21,982.88,987.05,180.07K
1511,2018-08-27,990.19,994.54,990.03,991.92,189.51K
1571,2018-08-28,991.92,995.29,989.81,995.19,176.27K
1623,2018-08-29,995.05,995.05,987.47,988.17,176.89K
1671,2018-08-30,987.62,998.07,983.43,998.07,186.70K
1716,2018-08-31,998.55,"1,003.06",989.54,989.54,186.55K
122,2018-09-04,990.79,992.18,975.94,975.94,185.94K
131,2018-09-05,975.05,978.78,964.8,968.44,181.15K
141,2018-09-06,968.37,970.84,957.99,958.19,160.38K
149,2018-09-07,955.5,969.34,955.5,968.9,169.77K
174,2018-09-10,969.74,974.59,968.19,970.34,190.67K
182,2018-09-11,968.41,985.06,967.92,985.06,192.82K
191,2018-09-12,990,994.83,987.01,987.01,184.15K
707,2018-09-13,987.48,992.96,984.92,987.95,172.90K
767,2018-09-14,987.95,995.55,987.95,991.34,178.48K
941,2018-09-17,990.65,993.83,987.02,987.61,164.61K
999,2018-09-18,983.43,993.49,981.89,993.49,197.39K
1056,2018-09-19,998.65,"1,001.83",994.5,995.54,244.42K
1113,2018-09-20,995.54,"1,004.74",995.54,"1,004.74",204.56K
1173,2018-09-21,"1,006.25","1,009.10","1,000.39","1,002.97",302.45K
