,date,open,high,low,close,volume
12,2017-01-03,665.92,672.34,665.43,672.01,84.66K
21,2017-01-04,672.58,675.93,672.21,674.7,110.03K
28,2017-01-05,674.82,675.92,673.31,675.81,102.17K
36,2017-01-06,675.35,683.76,675.22,679.8,127.41K
62,2017-01-09,681.74,684.88,681.74,682.57,101.40K
70,2017-01-10,682.77,683.02,680.76,681.07,87.80K
79,2017-01-11,680.85,687.16,680.85,687.16,108.71K
87,2017-01-12,688.71,688.99,685.59,686.96,112.44K
666,2017-01-13,686.58,688.62,685.06,685.06,94.95K
842,2017-01-16,684.62,684.82,677.85,677.94,89.57K
899,2017-01-17,678.83,684.73,678.83,684.71,108.97K
959,2017-01-18,683.74,688.07,683.28,683.28,101.06K
1017,2017-01-19,683.02,684.19,680.8,682.31,89.19K
1074,2017-01-20,684.05,688.42,684.05,686.26,90.69K
1251,2017-01-23,687.83,689.47,686.46,687.15,87.81K
1308,2017-01-24,687.08,692.75,687.08,691.36,98.37K
1365,2017-01-25,693.07,697.28,691.19,697.28,98.35K
6,2017-02-02,699.8,703.2,697.71,703.18,86.42K
13,2017-02-03,704.69,708.1,700.09,700.35,124.67K
37,2017-02-06,702.02,702.02,696.92,700.04,126.96K
45,2017-02-07,699.99,703.3,698.99,701.91,158.64K
54,2017-02-08,702.67,702.77,700.47,702.04,156.11K
63,2017-02-09,700.93,702.64,700.21,700.65,147.55K
71,2017-02-10,701.15,704.08,701.15,703.78,138.32K
671,2017-02-13,704.61,706.47,703.58,705.9,161.22K
731,2017-02-14,706.41,707.32,703.85,706.26,175.12K
790,2017-02-15,706.84,711.73,706.84,711.57,169.00K
847,2017-02-16,712.61,717.57,709.35,709.35,198.42K
905,2017-02-17,709.52,710.21,705.84,707.83,166.18K
1078,2017-02-20,705.72,711.4,704.41,710.59,199.90K
1137,2017-02-21,711.49,718.06,711.49,716.55,210.81K
1196,2017-02-22,717.77,719.09,715.36,717.24,231.76K
1254,2017-02-23,717.49,719.58,712.36,716.87,228.28K
1311,2017-02-24,716.35,717.94,713.7,714.47,232.80K
1480,2017-02-27,711.7,718.37,711.7,717.44,182.51K
1539,2017-02-28,718.24,719.14,710.79,710.79,192.32K
0,2017-03-01,710.7,712.49,705.79,709.52,222.20K
7,2017-03-02,712.68,713.53,707.51,707.51,176.45K
14,2017-03-03,708.23,712.62,705.83,712.62,170.92K
38,2017-03-06,714.61,718.04,714.01,716.29,172.20K
46,2017-03-07,716.46,716.95,714.27,716.54,195.68K
55,2017-03-08,715.04,718.78,713.89,716.6,175.66K
64,2017-03-09,715.86,718.23,714.96,715.8,195.41K
72,2017-03-10,715.85,716.81,712.21,712.21,197.43K
676,2017-03-13,711.93,712.63,707.63,710.17,146.59K
736,2017-03-14,709.9,716.49,709.29,714.71,134.82K
794,2017-03-15,715.63,716.49,713.14,713.14,139.57K
850,2017-03-16,712.56,715.03,710.66,714.92,179.09K
910,2017-03-17,715.82,717.1,710.54,710.54,253.20K
1082,2017-03-20,711.44,717.54,711.44,715.07,175.29K
1143,2017-03-21,717.03,718.8,714.78,716.18,231.63K
1202,2017-03-22,715.78,720.68,712.94,712.94,269.00K
1259,2017-03-23,712.61,719.56,712.61,719.56,192.35K
1316,2017-03-24,719.56,724.36,719.56,722.14,214.78K
1485,2017-03-27,723.23,725.57,721.41,723.52,233.19K
